ID,Authors,Title
119,"['Wenqi Zhao', 'Jianhua Zhu', 'Liangcai Gao']",ICAL: Implicit Character-Aided Learning for Enhanced Handwritten Mathematical Expression Recognition
120,"['Sheraz Ahmed', 'Saifullah Saifullah', 'Andreas Dengel', 'Stefan Agne']",DocXplain: A Novel Model-Agnostic Explainability Method for Document Image Classication
121,"['Andrei S', 'Dinu Urse', 'Dumitru', 'Manuel', 'Vlad', 'Vasile Păis', 'Răzvan', 'Andrei', 'erban', 'Dragos', 'Andreea Iuga', 'Petru Sorlescu', 'Cristian Matei', 'Gabriel Micliuş', 'Adrian', 'Marius Avram', 'George', 'Andrei Muntean', 'Clementin Cercel', 'Vlad Manolache']",HistNERo: Historical Named Entity Recognition for the Romanian Language
122,"['Hongxi Wei', 'Jingtao Ma', 'Yiming Wang']",Recognition and Link Prediction of Onomatopoeia Texts with Arbitrary Shapes
123,"['Cheng - Lin Liu', 'Umapada Pal', 'Arnab Halder', 'Shivakumara Palaiahnakote', 'Michael Blumenstein']",A New Unsupervised Approach for Text Localization in  Shaky and Non-Shaky Scene Video
133,"['Cheng', 'Lin Liu', 'Yi Chen', 'Yangyang Liu', 'Fei Yin']",Context-Aware Confidence Estimation for Rejection in Handwritten Chinese Text Recognition
134,"['Chao Liu', 'Jie Yang', 'Wanqing Li']",Extractive Question Answering with Contrastive Puzzles and Reweighted Clues
136,"['Kurban', 'Jun Ding', 'Jiaoyan Wang', 'Alimjan Aysa', 'Xuebin Xu']",Oracle Bone Inscriptions Image Retrieval Based on Metric Learning
140,"['Shumpei Takezaki', 'Daichi Haraguchi', 'Seiichi Uchida', 'Tetta Kondo']",Font Style Interpolation with Diffusion Models
143,"['Zuo Li', 'Heng Zhang', 'Xiao - Hui Li', 'Tian', 'Fei Yin']",Adaptive Scaling and Refined Pyramid Feature Fusion Network for Scene Text Segmentation
144,"['Benjamin Kiessling', 'Matthias Gille Levenson', 'Patricia O ’ Connor', 'Malamatenia Vlachou', 'Federico Boschetti', 'Ariane Pinche', 'Jean - Baptiste Camps', 'Mike Kestemont', 'Avery Manton', 'Efstathiou', 'Thibault Clérice', 'Michael Gervers', 'Agnès Boutreux', 'Wouter Haverals', 'Olivier Brisville - Fertin', 'Simon Gabay', 'Caroline Vandyck', 'Alix Chagué', 'Franz Fischer']",CATMuS Medieval: A multilingual large-scale cross-century dataset in Latin script for handwritten text recognition and beyond
145,['Xin Yang'],Document Specular Highlight Removal with Coarse-to-fine Strategy
146,"['Cheng', 'Lin Liu', 'Heng Zhang', 'Rong Ling', 'Lu', 'Fei Yin']",Deep Metric Learning with Cross-Writer Attention for Offline Signature Verification
148,"['Jiefeng Ma', 'Zhongyuan Han', 'Mobai Xue', 'Zhenrong Zhang', 'Pengfei Hu', 'Jun Du']",Radical Similarity Based Model Optimization and Post-correction for Chinese Character Recognition
